table_name
Attendance
Course
Event
Module
Schedule
StudentGroup
StudentGroup_Module
StudentGroup_Schedule
StudentGroup_User
StudentModule
User
Venue
academiccalendar
academicyear
degreeprogram
stream
studentenrollment
timetableentry
